,Artifact,1,2,3,4a,4b,5
0,MRP,4,7,23,21,32,25
1,adzes,3,2,15,3,3,2
2,awls,0,0,0,0,0,0
3,backed,1,2,8,9,17,6
4,bored stones,0,0,0,0,0,0
5,borers,0,0,0,0,4,0
6,broken backed,0,2,1,3,0,0
7,burins,0,0,0,0,0,0
8,cores,25,15,95,68,102,55
9,flakes,142,157,878,809,860,643
10,grinder,0,0,0,0,0,0
11,grooved stone,0,0,0,0,0,0
12,incised palettes,0,0,0,0,0,0
13,nutting grinders,0,0,0,0,0,0
14,ochre grinders,0,0,0,0,0,0
15,ochre palette,0,0,0,0,0,0
16,palettes,0,0,0,0,0,0
17,points,0,0,1,0,5,2
18,reamers,0,0,0,0,0,0
19,scraper,10,10,55,37,44,19
20,segment,1,0,1,2,2,2
21,spokeshaves,0,0,0,0,0,0
22,stone bowl frags,0,0,0,0,0,0
23,utilized,0,0,0,0,0,40
24,finished OES beads,3,5,33,12,9,0
25,unfinished OES beads,2,4,17,2,8,0
26,bucket,45.1,36,109.2,24.9,39,12
27,pendants,2,1,4,0,2,0
28,decorated OES,0,2,2,8,1,0
29,decorated reed,0,0,1,0,0,0
30,ochred OES,0,0,0,0,0,0
31,bone tool,17,22,21,2,2,0
