"","Rem.Weight","Max.thick","Mean.t","GIUR"
"1",1.32,3.27,9.29810344827586,10.9648337448078
"2",7.29,11.69,9.29810344827586,223.597213538683
"36",1.65,5.31,9.29810344827586,85.2727342800025
"37",1.67,5.63,9.29810344827586,18.5300979770454
"38",4.57,10.81,9.29810344827586,148.826727751971
"39",1.29,6.67,9.29810344827586,56.5370947247343
"40",0.83,3.84,9.29810344827586,31.5571850411514
"41",1.22,3.65,9.29810344827586,14.6597305468053
"42",1.91,5.33,9.29810344827586,17.5230084109802
"43",1.66,5.52,9.29810344827586,20.9989578967742
"44",0.63,4.48,9.29810344827586,51.8981391629122
"45",1.4,5.55,9.29810344827586,10.3445290429942
"46",1.36,4.54,9.29810344827586,61.8524536011176
"47",1.79,6.53,9.29810344827586,76.1805044569161
"48",1.28,5.39,9.29810344827586,89.1533638846842
"49",3,6.66,9.29810344827586,50.0762494626865
"50",10.14,7.54,9.29810344827586,880.906917247319
"51",1.22,4.72,9.29810344827586,24.5280586631248
"52",1.52,6.81,9.29810344827586,37.198956239417
"53",0.77,4.64,9.29810344827586,236.546765997418
"54",1.19,5.3,9.29810344827586,64.886091555971
"55",2.01,5.34,9.29810344827586,124.236347519327
"56",1.76,6.28,9.29810344827586,210.654759395356
"57",1.59,6.79,9.29810344827586,276.594949879786
"58",1.51,4.38,9.29810344827586,47.3687225587632
"60",0.46,3.54,9.29810344827586,10.8422996193155
"61",1.13,4.74,9.29810344827586,54.0783589267086
"62",2.33,4.48,9.29810344827586,103.019439213098
"63",11.64,12.01,9.29810344827586,581.268900209466
"64",9.36,13.64,9.29810344827586,779.73327671107
"65",1.38,4.31,9.29810344827586,110.165719353292
"66",0.78,4.82,9.29810344827586,45.6711478844347
"67",0.68,5.01,9.29810344827586,16.9275444874835
"68",1.2,5.74,9.29810344827586,109.370876029172
"69",2.75,6.02,9.29810344827586,218.171787892468
"70",2.12,5.43,9.29810344827586,70.4697845195217
"71",0.32,2.99,9.29810344827586,0.812794827894689
"72",1.08,3.99,9.29810344827586,33.3084016747259
"73",1.62,4.86,9.29810344827586,87.0020582141679
"74",0.93,3.97,9.29810344827586,19.4566178721644
"75",2.85,9.11,9.29810344827586,170.138997586182
"76",0.19,2.41,9.29810344827586,32.83735847047
"77",0.36,2.69,9.29810344827586,5.47416270047672
"78",2,6.73,9.29810344827586,195.540149275544
"79",1,6.06,9.29810344827586,111.860740326959
"80",2.62,6.84,9.29810344827586,24.6073975590871
"81",1.71,5.5,9.29810344827586,37.9888979260858
"82",0.17,2.28,9.29810344827586,1.45188846277597
"83",0.55,4.45,9.29810344827586,22.2943480557807
"84",1.26,5.78,9.29810344827586,13.9829996843759
"85",0.44,3.22,9.29810344827586,10.0957024452417
"86",0.62,3.88,9.29810344827586,24.6588781072451
"87",0.24,2.82,9.29810344827586,25.771728975796
"88",0.69,3.7,9.29810344827586,86.8906838418846
"89",1.42,5.08,9.29810344827586,143.683122154359
"90",0.22,3.32,9.29810344827586,21.2042099747038
"91",0.72,4.3,9.29810344827586,25.1759759323641
"92",0.34,4.56,9.29810344827586,34.3227841700122
